GENE	CHR	START	END	GENEID
ATP2B4	1	203595689	203713209	ENSG00000058668
ZC3H11A	1	203764782	203823252	ENSG00000058673
YIPF1	1	54317392	54356407	ENSG00000058799
NDC1	1	54231133	54304533	ENSG00000058804
TARBP1	1	234527059	234614849	ENSG00000059588
MXD1	2	70124820	70170077	ENSG00000059728
PIGV	1	27113963	27124889	ENSG00000060642
PTPRU	1	29563028	29653325	ENSG00000060656
SNRNP40	1	31732417	31769662	ENSG00000060688
ACAA1	3	38144620	38178733	ENSG00000060971
NCKAP1	2	183773843	183903586	ENSG00000061676
GPC1	2	241375088	241407493	ENSG00000063660
CASP8	2	202098166	202152434	ENSG00000064012
ST3GAL6	3	98451080	98540045	ENSG00000064225
DDX20	1	112297867	112310638	ENSG00000064703
CHI3L2	1	111743393	111786062	ENSG00000064886
PMS1	2	190649107	190742355	ENSG00000064933
CALCRL	2	188207856	188313187	ENSG00000064989
GNAI3	1	110091233	110136975	ENSG00000065135
WDR3	1	118472343	118509165	ENSG00000065183
PKN2	1	89149905	89301938	ENSG00000065243
ANKRD44	2	197831741	198175897	ENSG00000065413
SPEN	1	16174359	16266955	ENSG00000065526
ZC3H15	2	187350883	187374090	ENSG00000065548
TMEM206	1	212537273	212588243	ENSG00000065600
ASB1	2	239335383	239360891	ENSG00000065802
MTHFD2	2	74425689	74444692	ENSG00000065911
YBX1	1	43148098	43168020	ENSG00000065978
PPP2R5A	1	212458879	212535200	ENSG00000066027
CTNNA2	2	79412357	80875905	ENSG00000066032
TIE1	1	43766664	43788779	ENSG00000066056
KDM4A	1	44115829	44171186	ENSG00000066135
NFYC	1	41157320	41237275	ENSG00000066136
ZMYND12	1	42896000	42921938	ENSG00000066185
ASPM	1	197053258	197115824	ENSG00000066279
CD84	1	160510885	160549306	ENSG00000066294
ELOVL1	1	43829068	43833696	ENSG00000066322
ZBTB11	3	101367733	101396339	ENSG00000066422
LRRC40	1	70610488	70671303	ENSG00000066557
SP100	2	231280657	231408805	ENSG00000067066
EVI5	1	92974253	93257961	ENSG00000067208
DNTTIP2	1	94333373	94345474	ENSG00000067334
RRP15	1	218458629	218511325	ENSG00000067533
RHOA	3	49396578	49450431	ENSG00000067560
PRKCZ	1	1981909	2116834	ENSG00000067606
IARS2	1	220267444	220321380	ENSG00000067704
HYAL2	3	50355221	50360337	ENSG00000068001
HDAC4	2	239969864	240323348	ENSG00000068024
RASSF1	3	50367219	50378411	ENSG00000068028
REEP1	2	86441116	86565206	ENSG00000068615
POLR1A	2	86247339	86333278	ENSG00000068654
LAPTM4A	2	20232411	20251789	ENSG00000068697
TTC7A	2	47143296	47303276	ENSG00000068724
IP6K2	3	48725436	48777786	ENSG00000068745
SRBD1	2	45615819	45839304	ENSG00000068784
PSME4	2	54091204	54197977	ENSG00000068878
ERLEC1	2	54014181	54045956	ENSG00000068912
NUP133	1	229577045	229644103	ENSG00000069248
NUCKS1	1	205681947	205719404	ENSG00000069275
KCNAB2	1	6051526	6161253	ENSG00000069424
TGFBR3	1	92145902	92371892	ENSG00000069702
KIAA1107	1	92632542	92650280	ENSG00000069712
TESK2	1	45809555	45956872	ENSG00000070759
EIF2B3	1	45316450	45452282	ENSG00000070785
CDC42	1	22379120	22419437	ENSG00000070831
RAD18	3	8817088	9005457	ENSG00000070950
NCK2	2	106361354	106510730	ENSG00000071051
MAP4K4	2	102313312	102511149	ENSG00000071054
MGAT4A	2	99235569	99347589	ENSG00000071073
RPL31	2	101618177	101640494	ENSG00000071082
LMCD1	3	8543393	8609805	ENSG00000071282
TRIB2	2	12857015	12882860	ENSG00000071575
MYO3B	2	171034655	171511681	ENSG00000071909
CYBRD1	2	172378757	172414643	ENSG00000071967
PTPN18	2	131113580	131132982	ENSG00000072135
LIMS2	2	128395956	128439360	ENSG00000072163
SPEG	2	220299568	220363009	ENSG00000072195
FCGR2B	1	161551101	161648444	ENSG00000072694
TRNT1	3	3168600	3192563	ENSG00000072756
DHRS9	2	169921299	169952677	ENSG00000073737
CD5L	1	157800704	157868046	ENSG00000073754
PTGS2	1	186640923	186649559	ENSG00000073756
CLASP1	2	122095352	122407163	ENSG00000074054
BCS1L	2	219523487	219528166	ENSG00000074582
ENO1	1	8921061	8939308	ENSG00000074800
ARHGEF10L	1	17866330	18024369	ENSG00000074964
EIF4G3	1	21132963	21503377	ENSG00000075151
ZNF638	2	71503691	71662199	ENSG00000075292
ADD2	2	70834750	70995357	ENSG00000075340
RASAL2	1	178062864	178448644	ENSG00000075391
FOSL2	2	28615315	28640179	ENSG00000075426
TMEM131	2	98372799	98612388	ENSG00000075568
ARHGAP15	2	143848931	144525921	ENSG00000075884
TUBA3D	2	132233666	132240507	ENSG00000075886
EXOSC7	3	45016733	45077558	ENSG00000075914
KIFAP3	1	169890467	170054349	ENSG00000075945
MKRN2	3	12598513	12625212	ENSG00000075975
MCM6	2	136597196	136633996	ENSG00000076003
PTPN23	3	47422501	47454931	ENSG00000076201
MLH1	3	37034823	37107380	ENSG00000076242
FMO4	1	171283347	171311223	ENSG00000076258
KLHL20	1	173684080	173755840	ENSG00000076321
PLXNA2	1	208195587	208417665	ENSG00000076356
RAP1GAP	1	21922708	21995801	ENSG00000076864
DGKD	2	234263153	234380750	ENSG00000077044
RARB	3	25215823	25639423	ENSG00000077092
TOP2B	3	25639475	25706398	ENSG00000077097
UBE2T	1	202300785	202311108	ENSG00000077152
PPP1R12B	1	202317827	202561834	ENSG00000077157
DNAJC10	2	183580999	183659191	ENSG00000077232
USP33	1	78161672	78225537	ENSG00000077254
DYNC1I2	2	172543919	172604930	ENSG00000077380
ACTN2	1	236849754	236927931	ENSG00000077522
CAPZB	1	19665267	19812066	ENSG00000077549
GPR137B	1	236305832	236385165	ENSG00000077585
MAP2	2	210288782	210598842	ENSG00000078018
GNB1	1	1716729	1822495	ENSG00000078369
NRD1	1	52254863	52344477	ENSG00000078618
SDF4	1	1152288	1167411	ENSG00000078808
TP73	1	3569084	3652765	ENSG00000078900
FKBP7	2	179328391	179343327	ENSG00000079150
OSBPL6	2	179059208	179264160	ENSG00000079156
XRCC5	2	216972187	217071026	ENSG00000079246
SP140	2	231067826	231223762	ENSG00000079263
MKNK1	1	47023090	47082515	ENSG00000079277
TNS1	2	218664512	218867718	ENSG00000079308
CDC14A	1	100810584	100985833	ENSG00000079335
PGM1	1	64058947	64125916	ENSG00000079739
DDX1	2	15731302	15771235	ENSG00000079785
CRYBG3	3	97595819	97663810	ENSG00000080200
RIF1	2	152266397	152364527	ENSG00000080345
CPOX	3	98239976	98312567	ENSG00000080819
CLDND1	3	98216756	98241910	ENSG00000080822
CROCCP3	1	16793931	16825752	ENSG00000080947
RSBN1	1	114304454	114355098	ENSG00000081019
MAGI3	1	113933371	114228545	ENSG00000081026
COL4A4	2	227867427	228028829	ENSG00000081052
IMPG2	3	100941390	101039404	ENSG00000081148
PCNP	3	101292939	101313281	ENSG00000081154
PTPRC	1	198607801	198726545	ENSG00000081237
PKP1	1	201252580	201302121	ENSG00000081277
STK17B	2	196998290	197041227	ENSG00000081320
JMJD4	1	227918126	227923112	ENSG00000081692
DUSP12	1	161719548	161727028	ENSG00000081721
HSPB11	1	54382247	54411602	ENSG00000081870
IL12RB2	1	67773047	67862583	ENSG00000081985
STRADB	2	202252581	202345569	ENSG00000082146
BZW1	2	201675317	201688569	ENSG00000082153
CCNT2	2	135675805	135716912	ENSG00000082258
COBLL1	2	165510134	165700189	ENSG00000082438
TRAF5	1	211499957	211548288	ENSG00000082512
XPO1	2	61704984	61765761	ENSG00000082898
PLOD1	1	11994262	12035595	ENSG00000083444
CHMP2B	3	87276421	87304698	ENSG00000083937
SMAP2	1	40810522	40888998	ENSG00000084070
PPIE	1	40157854	40229586	ENSG00000084072
ZMPSTE24	1	40723779	40759856	ENSG00000084073
STARD7	2	96850597	96874563	ENSG00000084090
EIF3I	1	32687529	32697205	ENSG00000084623
COL16A1	1	32117848	32169920	ENSG00000084636
TXLNA	1	32645287	32663886	ENSG00000084652
NCOA1	2	24714783	24993571	ENSG00000084676
AGBL5	2	27265232	27293490	ENSG00000084693
EFR3B	2	25264999	25378243	ENSG00000084710
KIF3C	2	26149471	26205618	ENSG00000084731
RAB10	2	26256976	26360323	ENSG00000084733
GCKR	2	27719709	27746554	ENSG00000084734
HADHA	2	26413504	26467594	ENSG00000084754
MAPRE3	2	27193480	27250064	ENSG00000084764
CAD	2	27440258	27466811	ENSG00000084774
WDR47	1	109512836	109584850	ENSG00000085433
WDFY1	2	224720433	224810104	ENSG00000085449
OVGP1	1	111956936	111970399	ENSG00000085465
SLC25A24	1	108676658	108743471	ENSG00000085491
IGSF9	1	159896829	159915386	ENSG00000085552
MTIF2	2	55463731	55496483	ENSG00000085760
TTC39A	1	51752930	51810788	ENSG00000085831
EPS15	1	51819935	51985000	ENSG00000085832
ORC1	1	52838501	52870131	ENSG00000085840
ATG16L1	2	234118697	234204320	ENSG00000085978
USP40	2	234384166	234475428	ENSG00000085982
POMGNT1	1	46654354	46685977	ENSG00000085998
RAD54L	1	46713360	46744145	ENSG00000085999
MAST2	1	46252659	46501796	ENSG00000086015
ERO1LB	1	236378855	236445319	ENSG00000086619
GMCL1	2	70056774	70108528	ENSG00000087338
ALG6	1	63833261	63904233	ENSG00000088035
PTPN4	2	120517207	120741394	ENSG00000088179
DDX18	2	118572226	118589955	ENSG00000088205
ASAP3	1	23755056	23811061	ENSG00000088280
DOCK3	3	50712672	51421629	ENSG00000088538
C3orf18	3	50595462	50608458	ENSG00000088543
TMEM40	3	12775024	12810956	ENSG00000088726
KIF9	3	47269516	47324941	ENSG00000088727
SLC9A1	1	27425306	27493472	ENSG00000090020
PCBP4	3	51991470	52002426	ENSG00000090097
RGS1	1	192544857	192549161	ENSG00000090104
NUDC	1	27226729	27273353	ENSG00000090273
MUL1	1	20825943	20834654	ENSG00000090432
PABPC4	1	40026488	40042462	ENSG00000090621
USP48	1	22004791	22110099	ENSG00000090686
NLRC4	2	32449522	32490923	ENSG00000091106
IL5RA	3	3111233	3168297	ENSG00000091181
CMTM6	3	32522804	32544900	ENSG00000091317
ITGA6	2	173292082	173371181	ENSG00000091409
RAPGEF4	2	173600002	173917621	ENSG00000091428
	2	173940163	174132738	ENSG00000091436
FH	1	241660903	241683061	ENSG00000091483
CD200	3	112051194	112081659	ENSG00000091972
CCDC80	3	112323407	112368377	ENSG00000091986
TBX15	1	119425669	119532179	ENSG00000092607
PHGDH	1	120202421	120286838	ENSG00000092621
AGO1	1	36335409	36395211	ENSG00000092847
TEKT2	1	36549676	36553876	ENSG00000092850
CLSPN	1	36185819	36235568	ENSG00000092853
TGFB2	1	218519577	218617961	ENSG00000092969
GPATCH2	1	217600334	217804424	ENSG00000092978
LRRFIP2	3	37094117	37225180	ENSG00000093167
SEC22C	3	42589461	42642572	ENSG00000093183
XYLB	3	38388251	38462839	ENSG00000093217
FMO2	1	171154347	171181822	ENSG00000094963
SUCO	1	172501489	172580971	ENSG00000094975
MSH2	2	47630108	47789450	ENSG00000095002
ACOT7	1	6324329	6454451	ENSG00000097021
SH3GLB1	1	87170259	87213867	ENSG00000097033
CDC7	1	91966408	91991321	ENSG00000097046
SYDE2	1	85622556	85666729	ENSG00000097096
PALMD	1	100111499	100160097	ENSG00000099260
DVL1	1	1270656	1284730	ENSG00000107404
	3	53918437	53926015	ENSG00000113811
ACTR8	3	53901093	53916229	ENSG00000113812
CRBN	3	3190676	3221394	ENSG00000113851
ARL6	3	97483365	97519953	ENSG00000113966
NIT2	3	100053545	100075710	ENSG00000114021
OGG1	3	9791628	9829903	ENSG00000114026
KAT2B	3	20081515	20195896	ENSG00000114166
PFKFB4	3	48555117	48599448	ENSG00000114268
COL7A1	3	48601506	48632700	ENSG00000114270
PRKAR2A	3	48782030	48885279	ENSG00000114302
USP4	3	49315264	49378145	ENSG00000114316
GNAI2	3	50263724	50296787	ENSG00000114353
TFG	3	100428205	100467810	ENSG00000114354
HYAL1	3	50337320	50349812	ENSG00000114378
TUSC2	3	50357458	50365682	ENSG00000114383
NPRL2	3	50384761	50388522	ENSG00000114388
RPL24	3	101399935	101405626	ENSG00000114391
CYB561D2	3	50388126	50395891	ENSG00000114395
C3orf14	3	62304648	62321888	ENSG00000114405
CBLB	3	105374305	105588396	ENSG00000114423
BBX	3	107241783	107530171	ENSG00000114439
IFT57	3	107879659	107941417	ENSG00000114446
HHLA2	3	108015376	108097132	ENSG00000114455
GBE1	3	81538850	81811312	ENSG00000114480
C3orf52	3	111805182	111849851	ENSG00000114529
FRMD4B	3	69219141	69591734	ENSG00000114541
KLHL18	3	47324407	47388306	ENSG00000114648
SCAP	3	47455203	47518616	ENSG00000114650
HEMK1	3	50606583	50622366	ENSG00000114735
CISH	3	50643921	50649262	ENSG00000114737
MAPKAPK3	3	50648951	50686720	ENSG00000114738
ACVR2B	3	38495342	38534633	ENSG00000114739
WDR48	3	39093489	39138155	ENSG00000114742
GORASP1	3	39138150	39149854	ENSG00000114745
RRP9	3	51967446	51975957	ENSG00000114767
ABHD14B	3	52002526	52017425	ENSG00000114779
EIF1B	3	40351175	40353915	ENSG00000114784
VIPR1	3	42530791	42579059	ENSG00000114812
DNAH1	3	52350335	52434507	ENSG00000114841
ZBTB47	3	42695176	42709072	ENSG00000114853
TNNC1	3	52485118	52488086	ENSG00000114854
NKTR	3	42642106	42690227	ENSG00000114857
FOXP1	3	71003844	71633140	ENSG00000114861
SPCS1	3	52738971	52742182	ENSG00000114902
NEK4	3	52744800	52804965	ENSG00000114904
SLC4A3	2	220492049	220506702	ENSG00000114923
INO80D	2	206858445	206951027	ENSG00000114933
EEF1B2	2	207024309	207027652	ENSG00000114942
ADAM23	2	207308263	207485851	ENSG00000114948
DGUOK	2	74153953	74186088	ENSG00000114956
MOB1A	2	74379655	74406025	ENSG00000114978
KANSL3	2	97258907	97308524	ENSG00000114982
LMAN2L	2	97371666	97405801	ENSG00000114988
RTKN	2	74652963	74669549	ENSG00000114993
TTL	2	113239731	113299316	ENSG00000114999
CCL20	2	228678558	228682272	ENSG00000115009
PIKFYVE	2	209130991	209223475	ENSG00000115020
FAHD2A	2	96068469	96082364	ENSG00000115042
NCL	2	232318242	232348352	ENSG00000115053
ACTR1B	2	98272431	98280570	ENSG00000115073
SLC35F5	2	114462588	114514400	ENSG00000115084
ZAP70	2	98330023	98356325	ENSG00000115085
ACTR3	2	114647537	114720173	ENSG00000115091
STEAP3	2	119981384	120023228	ENSG00000115107
EPB41L5	2	120770581	120936695	ENSG00000115109
TFCP2L1	2	121974163	122042783	ENSG00000115112
	2	24290454	24299313	ENSG00000115128
TP53I3	2	24300303	24308731	ENSG00000115129
DNAJC27	2	25166505	25194963	ENSG00000115137
POMC	2	25383722	25391772	ENSG00000115138
STAM2	2	152973315	153032506	ENSG00000115145
OTOF	2	26680071	26781566	ENSG00000115155
GPD2	2	157291802	157470247	ENSG00000115159
CENPA	2	26987157	27023935	ENSG00000115163
CYTIP	2	158271131	158345473	ENSG00000115165
ACVR1	2	158592958	158732374	ENSG00000115170
TANC1	2	159825146	160089170	ENSG00000115183
MPV17	2	27532360	27548547	ENSG00000115204
GTF3C2	2	27548716	27579868	ENSG00000115207
EIF2B4	2	27587219	27593353	ENSG00000115211
NRBP1	2	27650657	27665126	ENSG00000115216
FNDC4	2	27714750	27718112	ENSG00000115226
ITGA4	2	182321929	182400914	ENSG00000115232
PSMD14	2	162164549	162268228	ENSG00000115233
SNX17	2	27593389	27599995	ENSG00000115234
GPR75-ASB3	2	53759810	54087170	ENSG00000115239
PPM1G	2	27604061	27632554	ENSG00000115241
IFIH1	2	163123589	163175213	ENSG00000115267
GCA	2	163175350	163228105	ENSG00000115271
INO80B	2	74682150	74688011	ENSG00000115274
MOGS	2	74688184	74692537	ENSG00000115275
TTC31	2	74710200	74722013	ENSG00000115282
PCGF1	2	74732170	74735707	ENSG00000115289
GRB14	2	165349322	165478358	ENSG00000115290
CLIP4	2	29320571	29412509	ENSG00000115295
SPTBN1	2	54683422	54896812	ENSG00000115306
AUP1	2	74753772	74757066	ENSG00000115307
RTN4	2	55199325	55339757	ENSG00000115310
HTRA2	2	74756504	74760472	ENSG00000115317
LOXL3	2	74759541	74782817	ENSG00000115318
DOK1	2	74776153	74784681	ENSG00000115325
GALNT3	2	166604101	166651192	ENSG00000115339
POLE4	2	75185619	75197255	ENSG00000115350
CCDC88A	2	55514978	55647057	ENSG00000115355
MRPL19	2	75873909	75917977	ENSG00000115364
LANCL1	2	211295973	211342376	ENSG00000115365
WDR75	2	190306159	190340291	ENSG00000115368
EFEMP1	2	56093102	56151274	ENSG00000115380
REG1A	2	79347488	79350545	ENSG00000115386
FANCL	2	58386378	58468507	ENSG00000115392
FN1	2	216225163	216300895	ENSG00000115414
STAT1	2	191829084	191885686	ENSG00000115415
GLS	2	191745553	191830278	ENSG00000115419
PAPOLG	2	60983365	61029220	ENSG00000115421
DNAH6	2	84743579	85046713	ENSG00000115423
PECR	2	216861052	216947678	ENSG00000115425
UNC50	2	99225042	99234978	ENSG00000115446
IGFBP2	2	217497551	217529159	ENSG00000115457
ELMOD3	2	85581517	85618875	ENSG00000115459
IGFBP5	2	217536828	217560248	ENSG00000115461
USP34	2	61414598	61697904	ENSG00000115464
EFHD1	2	233470767	233547491	ENSG00000115468
CCT4	2	62095224	62115939	ENSG00000115484
GGCX	2	85771846	85788670	ENSG00000115486
EHBP1	2	62900986	63273622	ENSG00000115504
OTX1	2	63277192	63284971	ENSG00000115507
TXNDC9	2	99935445	99957165	ENSG00000115514
COQ10B	2	198318147	198340032	ENSG00000115520
GNLY	2	85912298	85925977	ENSG00000115523
SF3B1	2	198254508	198299815	ENSG00000115524
ST3GAL5	2	86066267	86116137	ENSG00000115525
CHST10	2	101008327	101034118	ENSG00000115526
PDCL3	2	101179152	101193197	ENSG00000115539
MOB4	2	198380295	198418423	ENSG00000115540
HSPE1	2	198364718	198368181	ENSG00000115541
KDM3A	2	86667770	86719839	ENSG00000115548
PLCD4	2	219472488	219501907	ENSG00000115556
CHMP3	2	86730554	86948245	ENSG00000115561
ZNF142	2	219502639	219524378	ENSG00000115568
IL1R2	2	102608306	102645006	ENSG00000115590
PRKAG3	2	219687106	219696809	ENSG00000115592
SMYD1	2	88367299	88412906	ENSG00000115593
IL1R1	2	102681004	102796334	ENSG00000115594
WNT6	2	219724544	219738955	ENSG00000115596
IL1RL2	2	102803433	102856462	ENSG00000115598
IL1RL1	2	102927962	102968497	ENSG00000115602
IL18R1	2	102927989	103015218	ENSG00000115604
IL18RAP	2	103035149	103069025	ENSG00000115607
FHL2	2	105974169	106054970	ENSG00000115641
MLPH	2	238394071	238463961	ENSG00000115648
CNPPD1	2	220036619	220042828	ENSG00000115649
UXS1	2	106709759	106810795	ENSG00000115652
ABCB6	2	220074490	220083712	ENSG00000115657
STK16	2	220110177	220115059	ENSG00000115661
HDLBP	2	242166679	242256476	ENSG00000115677
PPP1R7	2	242088991	242123067	ENSG00000115685
PASK	2	242045514	242089679	ENSG00000115687
STK25	2	242432089	242449145	ENSG00000115694
TPO	2	1377995	1547483	ENSG00000115705
PROC	2	128176003	128186822	ENSG00000115718
ID2	2	8818975	8824583	ENSG00000115738
TAF1B	2	9983483	10074545	ENSG00000115750
HPCAL1	2	10443015	10567743	ENSG00000115756
ODC1	2	10580094	10588630	ENSG00000115758
BIRC6	2	32582096	32843966	ENSG00000115760
NOL10	2	10710892	10830101	ENSG00000115761
PLEKHB2	2	131862420	132111282	ENSG00000115762
GORASP2	2	171784974	171823639	ENSG00000115806
STRN	2	37070783	37193615	ENSG00000115808
CEBPZ	2	37428755	37458856	ENSG00000115816
PRKD3	2	37477645	37551951	ENSG00000115825
DCAF17	2	172290727	172341562	ENSG00000115827
QPCT	2	37571717	37600465	ENSG00000115828
RAB3GAP1	2	135809835	135933964	ENSG00000115839
SLC25A12	2	172640880	172864766	ENSG00000115840
RMDN2	2	38150330	38294285	ENSG00000115841
DARS	2	136664247	136743670	ENSG00000115866
SRSF7	2	38970741	38978636	ENSG00000115875
SDC1	2	20400558	20425194	ENSG00000115884
PLCL1	2	198669426	199437305	ENSG00000115896
SLC1A4	2	65215611	65250999	ENSG00000115902
SOS1	2	39208537	39351486	ENSG00000115904
KYNU	2	143635067	143799890	ENSG00000115919
WIPF1	2	175424300	175547644	ENSG00000115935
ORC2	2	201773696	201828403	ENSG00000115942
COX7A2L	2	42560686	42652228	ENSG00000115944
PNO1	2	68384976	68403370	ENSG00000115946
ORC4	2	148687968	148779147	ENSG00000115947
PLEK	2	68592305	68624585	ENSG00000115956
RND3	2	151324709	151395525	ENSG00000115963
